температура,давление,плотность,вязкость,содержание серы,точка возгорания,обводненность,содержание соли,индекс качества
112.42,1.97,856.66,6.79,0.919,91.2,13.3,104.2,35.35
131.1,2.54,890.29,35.21,0.454,79.0,12.27,169.98,30.16
64.48,8.62,847.34,20.6,3.125,154.45,3.6,75.48,18.19
123.04,4.91,832.82,49.99,0.685,147.16,0.19,12.08,54.06
105.97,2.9,821.75,12.41,0.48,128.0,9.44,58.33,49.44
64.75,7.79,869.38,15.11,2.022,186.17,12.67,48.38,29.77
102.06,5.9,892.8,22.94,1.054,60.99,8.29,174.01,23.53
109.89,0.99,812.41,14.53,0.47,68.2,3.17,92.77,43.03
55.98,3.71,872.94,35.06,1.944,104.43,11.12,136.71,6.32
91.35,2.43,888.79,24.82,2.441,146.66,10.04,192.42,19.4
121.03,6.83,816.36,12.21,2.549,135.53,8.48,59.84,27.76
78.63,3.33,819.36,26.06,0.54,56.48,12.95,152.24,12.53
91.68,1.4,868.82,44.61,1.804,193.56,11.76,4.55,29.13
90.39,1.31,865.08,39.93,2.613,92.29,10.02,20.82,13.05
79.15,6.15,815.85,25.69,0.557,100.64,9.97,32.37,31.23
128.48,1.0,880.93,15.49,0.704,141.66,9.93,62.48,51.25
117.5,8.61,854.49,10.22,0.058,191.5,7.88,80.6,62.68
63.85,2.23,887.11,44.1,1.703,147.72,6.96,95.4,22.59
134.76,6.38,884.63,35.94,0.663,192.99,10.64,49.07,54.23
125.34,4.89,879.06,29.25,2.331,74.08,9.16,13.24,23.5
77.71,4.87,853.85,44.15,3.081,140.92,7.35,135.5,7.15
121.95,1.46,831.4,7.4,0.708,173.48,1.9,4.73,68.21
63.51,8.19,853.01,34.6,2.095,123.9,10.53,161.89,9.41
134.93,9.02,818.57,12.01,0.717,101.14,9.69,185.83,39.57
108.25,0.9,866.0,7.35,0.107,197.64,5.13,142.07,62.63
107.01,2.44,821.39,24.08,2.439,66.85,5.34,119.19,16.16
62.24,9.12,853.45,20.29,1.417,108.69,3.7,131.4,24.91
126.76,5.86,814.62,47.15,3.032,180.37,14.43,130.44,13.46
57.32,2.18,835.46,17.21,1.733,184.57,12.9,186.34,18.15
74.27,2.67,829.73,41.02,0.546,196.96,8.42,192.86,33.39
66.44,6.87,862.7,37.82,1.467,182.15,6.02,85.34,28.86
117.14,7.47,876.88,33.89,0.689,52.9,11.05,123.42,27.6
70.86,6.31,814.87,46.14,2.816,189.11,7.92,160.56,11.55
127.85,9.57,882.27,21.28,2.226,111.37,14.64,0.21,26.94
107.5,5.35,883.17,20.4,1.125,146.0,0.83,105.4,44.21
57.89,3.56,839.09,9.31,1.713,106.11,0.51,130.58,29.27
55.43,5.19,866.02,14.87,2.159,171.12,8.53,143.44,22.22
59.13,4.11,844.22,44.17,2.516,134.27,3.05,73.76,11.59
103.47,2.86,823.11,24.51,0.302,176.06,9.06,59.13,50.64
119.12,1.22,854.94,18.06,0.121,75.03,11.72,36.43,38.63
74.08,4.04,817.34,11.98,0.411,73.67,2.07,111.56,39.33
122.95,7.34,884.67,25.02,1.294,113.26,6.61,183.86,35.91
59.58,0.97,888.56,36.26,1.52,45.74,10.33,179.2,0.0
119.08,4.84,879.84,15.4,0.48,152.39,12.51,71.99,48.91
129.22,6.72,857.81,38.25,1.345,90.89,7.45,51.57,32.35
116.77,6.42,857.4,32.04,1.441,131.38,3.09,157.76,35.84
110.85,7.95,893.69,39.7,0.394,55.85,8.79,145.0,28.14
122.04,8.26,831.07,13.67,2.937,71.45,6.82,101.07,18.07
58.21,7.35,816.46,32.1,1.937,141.54,11.58,77.81,11.54
71.14,1.75,857.76,8.96,1.274,92.38,8.33,24.76,25.11
64.99,5.17,837.95,19.14,1.647,78.28,4.19,157.03,21.63
95.36,6.35,837.4,36.63,1.04,80.47,11.32,123.49,19.15
114.62,3.06,810.6,32.14,2.741,78.3,7.77,75.38,11.47
105.4,1.19,860.68,10.61,1.861,141.54,2.66,183.76,34.84
123.09,2.86,832.44,43.13,1.609,70.99,8.45,131.93,21.9
67.42,4.99,825.97,4.09,2.919,101.22,14.22,185.85,0.0
113.77,4.61,813.44,30.37,2.69,151.62,10.58,94.88,20.23
70.44,2.43,840.97,49.22,2.61,124.62,4.48,90.92,9.11
76.66,8.38,884.71,27.28,0.761,137.58,10.66,187.45,27.55
111.79,9.32,838.62,40.33,0.532,83.89,4.24,191.96,29.95
133.42,2.65,867.72,30.37,2.224,189.57,8.14,192.15,33.53
103.92,9.35,874.31,39.48,1.526,109.15,7.9,163.78,23.97
59.36,0.96,837.89,33.3,2.204,89.48,3.71,92.48,13.1
104.3,9.31,879.84,35.02,2.446,185.17,5.22,42.06,32.55
58.39,9.56,868.81,12.55,0.98,146.57,14.13,76.69,27.64
125.73,0.91,857.54,37.48,0.947,140.16,3.76,187.66,43.82
111.77,7.82,810.08,13.04,1.596,182.44,12.02,72.71,33.68
68.85,9.73,812.98,49.06,0.912,54.07,10.01,151.34,7.32
62.34,9.13,894.22,12.55,2.152,174.84,7.99,184.6,22.62
69.68,9.73,876.49,12.98,2.402,150.07,2.06,194.08,23.51
133.4,5.86,889.69,43.15,1.537,100.8,3.07,189.53,33.92
91.68,1.52,886.7,13.28,2.33,84.73,2.68,111.01,24.88
117.73,8.62,811.74,19.0,1.658,61.24,8.8,98.38,20.69
105.91,6.45,877.31,36.16,2.296,190.87,14.6,197.53,23.37
100.79,6.46,848.35,9.2,0.759,67.0,13.16,43.64,33.57
66.61,4.64,877.11,9.21,2.377,85.21,0.38,37.51,21.64
130.68,6.06,810.57,25.09,2.303,152.12,4.11,192.64,28.22
79.11,2.21,834.5,13.32,0.89,155.07,2.36,137.84,44.45
101.24,7.61,873.86,12.93,1.801,69.92,14.64,107.26,17.19
110.98,1.49,877.41,1.95,2.744,171.19,3.53,26.41,46.7
106.94,7.51,862.68,19.47,0.836,124.09,3.02,102.65,47.48
130.25,8.61,835.61,16.94,2.368,176.51,9.31,188.84,33.06
66.88,5.15,836.38,3.01,3.055,58.53,8.34,120.58,1.69
95.67,5.49,892.17,31.63,2.779,51.64,3.39,80.93,15.35
87.32,3.67,847.33,31.89,1.315,143.73,10.06,110.22,24.15
92.93,9.72,848.01,4.93,1.963,68.25,1.46,177.23,30.23
64.54,7.54,856.95,16.88,3.174,126.37,0.29,182.57,16.0
65.73,4.19,844.81,43.83,1.841,47.19,1.24,80.02,10.42
77.25,2.41,856.98,29.74,0.412,165.89,5.47,121.61,44.26
79.38,2.82,846.75,21.48,0.193,184.43,14.63,55.84,47.18
89.23,5.07,880.27,24.06,2.539,175.03,8.21,90.22,26.32
103.88,9.47,887.27,11.6,1.384,193.54,11.32,43.98,47.11
105.77,7.55,889.23,40.88,0.827,184.98,4.82,106.29,45.81
87.94,2.78,857.97,45.83,1.145,113.82,10.79,115.65,21.02
87.7,8.71,847.58,45.67,2.436,106.74,14.49,67.57,1.18
72.41,4.28,869.95,12.36,1.516,183.91,5.37,54.42,41.37
102.06,8.64,881.26,16.57,2.786,188.68,14.99,30.21,26.33
80.36,3.02,857.85,9.29,2.365,195.79,9.58,27.91,37.77
57.88,6.49,869.5,16.4,3.118,164.09,11.23,142.29,4.77
88.47,9.33,873.73,17.64,2.849,76.31,3.78,44.33,18.4
92.93,3.17,867.49,32.21,0.852,191.47,9.65,23.6,47.24
73.05,7.17,873.42,10.7,2.126,191.81,7.67,199.77,28.43
100.8,9.88,827.73,46.09,0.115,148.25,14.35,51.98,34.52
100.26,2.19,852.36,6.5,3.172,177.88,13.57,179.21,15.64
111.16,1.61,860.0,1.83,0.872,131.98,5.95,121.84,46.03
106.84,7.0,810.21,42.96,2.144,191.34,14.2,143.01,14.55
107.19,3.93,882.76,35.63,2.725,59.56,13.27,112.18,2.91
80.3,1.46,861.85,18.73,0.555,178.91,8.86,36.16,43.8
117.99,5.17,820.98,30.38,2.721,53.6,1.23,169.41,15.76
98.93,7.73,879.39,12.34,0.089,97.56,2.41,165.59,46.84
89.51,3.42,870.95,9.67,1.442,65.98,1.15,69.94,34.11
105.08,3.88,874.46,24.35,1.537,119.27,1.62,152.77,35.87
83.85,8.58,843.32,18.63,1.228,81.0,14.65,108.61,17.64
96.02,5.58,882.61,31.34,1.897,192.57,3.18,181.81,35.37
113.94,8.55,845.19,12.08,2.932,131.69,10.36,160.56,16.71
125.91,4.91,858.49,33.65,1.08,184.15,9.55,8.2,48.24
128.68,9.57,810.05,38.69,1.875,88.1,9.47,175.86,20.81
95.29,6.79,864.81,9.58,2.814,49.03,3.1,193.71,14.29
96.62,1.87,871.04,3.63,2.485,165.23,8.69,148.43,28.62
118.99,8.94,858.2,22.82,0.178,153.87,9.38,23.98,53.39
80.16,5.3,852.21,39.04,3.02,129.55,8.56,161.48,0.44
121.99,2.1,878.84,33.06,0.197,171.38,2.79,129.5,57.3
94.53,2.2,867.92,35.54,1.905,175.21,10.85,67.77,27.25
64.27,7.13,833.64,21.04,1.862,136.13,1.1,176.81,23.29
60.76,1.24,891.52,12.89,2.527,194.72,8.87,113.11,23.45
122.36,3.44,870.12,27.29,0.518,156.56,6.54,170.59,47.14
59.45,2.09,893.97,11.41,0.615,149.92,3.75,134.02,45.19
77.45,4.86,892.56,36.72,2.419,101.02,12.11,57.7,12.61
81.73,4.61,888.11,11.05,0.521,45.35,2.64,195.0,31.19
68.84,5.6,874.21,15.63,1.529,82.35,13.99,114.2,13.37
80.11,3.37,861.8,26.07,2.355,163.41,13.27,103.35,16.3
114.42,1.09,824.63,25.11,2.101,155.03,5.41,80.7,36.38
56.17,6.45,856.18,30.64,0.713,96.31,4.58,27.27,30.54
121.17,4.24,875.06,22.72,1.007,141.97,2.06,137.24,49.38
123.52,6.79,854.27,46.09,3.102,75.27,13.74,86.16,4.04
84.78,1.8,883.8,42.24,1.463,85.86,9.41,186.92,12.92
67.29,0.93,819.32,44.14,0.19,191.85,0.48,193.02,45.68
103.07,3.08,842.38,32.03,0.742,109.04,7.66,153.53,32.35
64.57,5.0,853.01,32.3,1.129,82.97,1.29,48.5,26.35
84.19,4.43,846.75,31.05,3.198,120.5,8.61,143.2,5.65
131.67,8.25,819.23,22.59,1.003,104.99,7.63,4.08,46.21
134.64,4.28,823.05,17.12,0.133,158.08,1.24,165.28,60.19
116.77,5.68,881.2,30.21,1.666,194.13,12.24,98.72,39.64
79.88,6.26,851.17,2.74,0.313,136.72,3.93,187.35,44.75
110.01,1.0,814.14,1.86,0.913,136.63,8.12,75.55,43.57
111.43,5.54,811.4,42.8,3.176,101.55,9.59,52.63,9.1
86.03,3.97,850.25,3.75,2.27,132.52,14.43,199.01,14.0
106.27,4.68,823.97,26.95,0.21,94.5,7.41,106.14,40.96
55.86,1.72,869.94,31.33,1.463,45.17,13.76,172.64,1.79
71.72,8.0,877.6,11.11,0.591,179.24,5.32,182.21,42.88
97.01,9.47,829.41,44.94,0.437,111.56,12.86,103.69,26.07
68.1,1.0,860.34,10.72,1.899,121.27,3.54,91.14,27.78
68.27,6.33,823.13,44.4,1.643,57.94,10.61,110.58,4.42
121.9,7.83,835.8,38.51,2.39,174.75,1.33,169.55,38.29
134.13,3.42,885.55,13.18,2.861,71.4,14.79,192.93,11.26
99.48,8.05,856.25,8.81,0.827,108.65,14.31,65.66,35.44
122.13,6.62,885.3,16.84,2.957,175.24,6.63,147.73,31.93
134.23,9.35,829.15,20.8,1.682,115.96,7.86,57.07,37.36
66.33,9.83,838.05,13.42,0.865,189.33,8.97,122.19,37.94
90.86,1.19,850.03,49.95,2.714,77.44,4.13,160.96,3.64
86.41,4.89,850.81,12.64,0.162,155.86,10.12,177.3,43.32
61.4,5.83,894.8,41.79,1.812,196.59,10.48,89.74,23.02
115.43,2.15,819.73,9.22,2.323,130.19,7.88,73.95,28.74
89.7,3.89,882.42,49.04,0.932,152.29,2.22,50.69,43.11
92.55,9.89,883.41,12.44,2.77,105.95,13.79,26.68,16.49
67.05,0.95,857.02,21.95,0.807,161.46,1.73,72.98,43.36
69.47,4.96,839.24,28.59,2.696,185.88,9.44,174.4,17.76
127.57,8.55,854.13,7.33,0.297,153.97,1.55,83.76,60.24
58.57,3.78,834.86,41.12,0.554,190.07,2.19,63.46,44.77
73.63,5.21,877.92,14.82,1.25,136.24,0.31,147.83,37.3
78.36,9.8,852.35,28.14,2.74,134.46,5.45,43.12,20.2
94.22,5.17,888.7,28.16,0.505,92.22,9.59,51.26,34.36
101.92,2.0,862.93,30.73,2.808,154.99,7.82,187.18,16.01
94.46,1.28,853.72,4.19,0.774,181.7,10.12,16.32,54.04
61.73,9.5,870.44,9.68,1.475,145.18,10.13,82.93,33.41
74.49,3.25,852.83,9.32,1.161,81.12,2.1,115.35,32.43
122.49,5.44,886.88,16.15,0.422,129.34,0.86,46.05,61.59
106.01,1.63,825.68,8.53,3.025,162.17,9.38,56.2,26.11
106.93,4.7,892.73,46.21,1.43,190.6,9.8,44.37,42.16
108.62,9.36,879.04,26.38,2.225,69.27,8.35,69.04,15.07
116.03,5.42,883.16,31.74,1.862,64.76,3.69,179.7,25.2
59.65,9.73,851.05,18.84,1.63,109.01,12.16,86.32,14.4
84.33,3.18,881.16,14.9,1.992,64.47,1.14,83.57,21.38
98.16,5.44,836.08,25.9,2.88,196.97,9.48,77.32,23.94
82.08,8.71,874.77,15.77,2.253,110.77,1.81,192.82,29.27
122.56,4.92,821.94,18.17,1.727,127.71,9.82,23.46,33.76
93.61,3.37,836.1,23.46,2.082,80.2,6.27,174.38,18.55
116.49,8.67,847.89,26.03,1.96,114.61,10.77,65.43,29.51
123.16,4.39,837.4,49.24,1.414,197.63,0.78,191.3,42.86
95.38,5.68,842.9,12.33,2.018,120.75,8.33,63.05,28.79
127.76,9.78,879.71,25.17,1.447,46.37,2.17,16.57,33.95
101.97,2.52,831.82,8.75,2.436,82.59,10.24,104.01,15.92
123.02,3.57,873.35,18.47,3.102,196.66,1.8,45.57,44.09
82.25,1.09,816.27,36.29,3.074,198.31,1.1,150.6,22.21
94.91,4.4,875.09,9.96,2.635,77.63,10.7,131.46,14.76
97.51,2.64,877.32,29.7,1.946,140.37,0.95,137.29,34.53
63.4,7.06,844.14,21.71,2.41,56.92,3.37,38.7,18.77
86.88,2.47,871.41,4.0,0.611,134.5,12.37,141.73,36.86
128.39,7.01,887.79,46.75,1.559,64.52,12.15,62.27,25.25
105.47,3.22,878.06,21.56,0.861,171.89,12.81,199.73,37.46
69.2,4.07,843.19,39.52,0.061,190.63,4.89,146.35,47.49
82.11,4.01,851.16,21.69,3.095,71.81,7.92,118.08,1.95
70.33,7.39,876.25,46.96,2.771,116.72,11.6,173.42,0.0
56.99,5.09,834.87,15.59,1.668,60.82,2.05,117.86,17.99
129.2,4.12,878.33,21.49,0.851,97.57,10.87,110.55,38.87
90.86,8.64,837.89,38.3,2.233,55.09,1.46,47.46,20.63
79.6,6.06,878.51,18.17,1.42,86.0,13.7,135.62,18.47
102.88,2.77,817.38,19.17,2.581,198.48,9.56,74.93,32.93
55.59,9.08,813.77,49.75,3.198,51.91,7.4,8.62,0.0
77.24,3.95,894.8,28.45,1.15,178.14,7.27,163.21,33.39
111.24,1.16,883.9,34.93,0.82,57.01,2.72,10.37,39.11
105.7,5.35,885.04,32.71,0.892,126.99,5.19,134.46,39.17
133.54,1.94,890.86,41.65,0.344,115.08,10.91,31.34,44.21
104.63,2.99,847.26,43.3,1.291,189.39,8.11,86.51,34.8
93.2,7.67,834.38,28.82,0.105,75.85,7.94,171.82,34.38
115.91,2.0,821.05,15.79,0.41,72.85,2.93,18.88,46.79
127.27,8.22,852.6,2.61,0.906,161.05,10.36,133.43,53.04
112.66,9.42,828.7,31.3,0.554,157.49,5.88,122.52,45.3
132.06,6.38,889.52,41.54,2.356,153.37,2.74,173.51,35.09
117.56,7.34,810.34,23.35,0.383,49.05,14.16,34.55,30.99
124.34,7.36,822.17,9.49,2.778,85.29,7.6,159.96,17.65
64.13,9.93,830.95,15.47,0.747,175.18,7.92,90.02,39.58
113.59,3.94,826.91,26.23,0.392,138.13,14.72,85.73,42.39
90.21,2.3,829.19,42.08,0.082,138.34,5.5,72.36,42.39
99.25,5.58,865.76,9.83,2.303,90.87,14.15,77.11,19.88
107.33,5.71,837.84,31.19,0.858,85.33,10.42,103.99,29.79
132.59,2.44,862.28,38.04,1.655,191.72,9.5,21.36,44.27
133.77,6.44,885.67,46.9,0.402,157.8,3.52,85.01,54.45
78.06,0.93,861.22,7.16,3.154,64.66,0.78,130.4,15.94
113.7,9.33,869.04,46.43,0.445,190.34,6.57,99.64,50.65
115.0,3.23,841.07,30.67,1.348,135.27,0.15,33.17,42.64
82.72,1.16,823.58,38.69,2.733,96.67,1.07,72.61,15.66
64.91,1.8,837.25,4.11,0.821,106.56,8.93,88.59,31.18
58.28,3.01,891.96,26.05,0.891,157.44,10.87,133.77,27.81
117.19,3.32,862.85,31.7,2.597,103.32,2.52,180.15,26.04
94.18,1.1,833.59,16.38,0.911,134.71,10.99,110.08,32.32
133.84,3.37,848.33,22.44,0.059,155.13,14.25,135.27,44.59
92.2,2.58,881.02,28.38,1.398,75.28,11.15,15.44,25.97
133.23,4.28,866.82,28.3,0.089,191.36,11.77,190.89,48.59
87.93,4.34,857.66,3.53,2.916,100.21,10.51,63.04,11.63
118.49,3.92,885.24,22.81,2.072,110.0,3.37,70.86,38.26
61.79,3.82,867.16,11.87,1.886,153.27,5.41,44.57,32.26
99.44,1.63,864.63,45.96,0.685,139.36,14.24,16.93,32.66
119.16,1.03,826.13,48.86,2.255,113.22,9.92,158.01,12.77
128.98,2.66,819.04,16.03,2.183,145.71,11.84,48.1,28.6
120.81,7.76,892.04,10.0,0.24,184.94,14.53,56.54,52.9
57.96,9.92,860.9,12.15,2.825,169.04,3.47,36.36,25.55
84.82,9.34,845.33,24.67,1.875,172.76,4.83,194.98,26.35
58.9,5.44,860.07,43.91,2.546,85.05,9.67,156.21,0.0
63.74,5.69,815.25,25.75,0.878,110.01,0.37,185.98,28.51
109.02,3.69,879.88,4.19,0.434,130.84,8.57,172.34,47.8
112.06,7.92,828.41,3.43,2.263,51.85,12.13,181.26,14.12
116.9,7.84,878.39,12.53,2.551,164.32,9.16,95.81,34.29
124.24,8.57,855.42,42.37,1.266,95.14,4.43,34.11,37.56
114.15,9.04,833.51,31.64,0.125,88.8,10.86,65.38,36.84
119.07,4.8,812.57,28.8,2.628,85.19,2.19,58.49,24.55
58.92,7.86,879.35,16.97,0.699,88.92,13.42,143.43,21.15
73.76,8.22,825.0,46.58,1.118,97.39,1.51,5.13,22.5
104.75,3.64,814.4,17.56,2.029,138.75,12.95,28.41,27.81
123.65,9.35,874.25,41.99,0.365,135.45,7.47,136.58,43.97
55.36,1.67,839.75,44.95,0.277,84.64,6.43,24.69,27.27
96.17,9.95,843.09,24.94,0.131,77.0,7.51,9.66,37.2
109.18,7.88,831.0,44.87,2.937,173.09,3.0,21.84,26.6
57.37,1.66,883.03,14.92,1.031,59.37,6.87,138.13,18.68
87.11,6.84,835.27,33.43,2.131,124.49,12.75,27.87,18.2
126.65,1.11,827.87,5.77,3.166,125.69,12.01,29.26,19.97
108.73,7.89,836.29,24.49,2.159,133.99,2.45,46.06,32.9
74.01,8.15,827.27,12.04,1.704,182.28,10.1,150.18,29.97
123.22,6.34,837.0,4.54,1.691,141.71,12.85,40.07,36.7
82.84,8.68,817.05,1.68,1.237,195.91,12.3,7.08,40.16
123.27,1.7,823.48,17.25,1.939,180.06,6.38,181.17,40.41
78.92,3.34,845.45,30.09,3.07,78.28,0.72,175.26,10.75
102.23,4.61,884.75,23.58,2.532,82.38,13.97,36.96,15.71
86.76,1.19,814.87,16.14,1.386,98.44,5.94,53.07,32.38
76.99,4.92,828.08,49.57,1.097,105.68,5.41,37.71,23.7
125.92,3.24,887.21,47.07,2.833,130.71,11.39,143.91,14.13
70.01,4.41,885.65,7.59,0.478,81.04,3.96,50.0,39.55
61.78,4.71,867.75,21.63,2.726,79.46,12.52,186.29,0.0
82.35,8.89,830.44,32.97,0.853,104.12,1.14,165.53,30.61
112.41,3.29,845.68,37.07,2.304,149.16,11.11,117.68,20.09
119.59,9.02,827.95,19.27,2.59,151.66,14.49,1.79,26.89
134.9,4.72,820.93,37.69,1.553,196.3,14.94,176.73,34.37
78.71,3.82,842.3,7.52,0.656,76.37,13.86,145.55,24.93
87.64,5.42,858.94,17.59,2.711,105.89,13.06,157.58,13.1
65.95,4.64,840.59,36.25,1.208,194.53,4.18,14.37,37.23
100.99,3.17,861.92,31.85,1.06,151.95,14.5,141.71,23.84
134.81,5.42,835.18,42.1,1.657,136.8,13.92,160.92,25.68
111.07,2.2,839.4,3.77,1.421,128.65,8.02,191.33,34.15
102.62,4.04,877.21,9.96,2.202,56.7,6.03,116.09,22.11
86.39,6.01,884.66,3.85,0.482,183.47,1.64,101.61,55.11
128.22,4.6,837.37,10.82,1.422,141.95,8.86,85.08,40.56
94.75,8.38,858.58,1.71,2.859,133.61,10.51,140.26,16.55
65.75,3.16,833.64,25.95,0.164,128.62,6.06,184.16,32.9
84.23,9.72,814.53,27.12,1.491,105.75,6.09,119.95,22.74
60.37,8.02,872.72,33.41,2.131,84.47,8.6,45.46,11.22
71.16,9.7,824.54,20.17,2.846,162.07,0.42,3.51,31.73
56.41,8.51,846.19,1.66,1.92,123.98,14.37,123.82,17.03
91.26,2.11,851.4,34.18,2.647,50.26,4.35,172.92,2.68
105.76,5.64,825.68,4.13,0.751,106.86,2.11,13.2,52.78
82.46,2.36,818.04,43.51,1.161,188.93,0.08,79.51,41.37
88.63,8.33,839.58,2.6,3.018,102.95,12.85,188.01,7.53
131.74,6.17,890.94,27.23,2.841,109.05,12.95,100.34,18.75
115.16,3.22,862.29,44.9,1.808,141.71,1.43,44.13,38.27
98.27,9.35,842.42,29.27,1.548,169.26,2.28,70.73,39.74
77.76,1.86,813.31,31.01,1.471,148.61,6.72,81.63,27.3
126.76,5.99,861.02,34.56,0.235,176.76,2.79,23.46,64.93
73.81,7.43,817.84,7.44,2.861,62.67,11.04,132.16,0.8
81.03,1.34,856.12,34.23,2.627,188.31,0.87,118.43,26.27
127.73,6.3,873.92,44.2,1.487,185.11,8.25,129.54,38.92
97.36,8.31,846.0,48.75,0.93,125.47,5.74,122.16,27.49
114.39,1.42,835.45,22.99,1.13,141.84,6.97,3.33,40.06
102.26,5.51,814.03,18.21,0.438,77.99,6.37,34.89,38.78
107.28,3.18,812.11,38.04,2.324,114.43,2.3,33.11,30.1
78.95,6.9,846.55,27.83,1.804,76.42,3.3,19.59,24.16
74.31,1.89,885.08,13.98,0.787,48.41,0.97,147.1,32.96
80.8,9.42,830.75,9.85,2.012,197.04,1.73,24.03,38.83
67.44,9.03,858.79,9.76,3.135,85.17,14.67,133.64,0.0
124.95,2.51,868.17,23.77,0.436,136.93,4.2,35.68,56.06
77.66,3.77,815.17,9.75,1.494,91.54,4.61,23.66,29.11
99.92,6.21,823.01,2.46,1.607,102.45,1.91,32.51,41.52
118.36,7.41,838.16,4.03,0.575,106.65,11.33,101.68,43.09
117.71,4.87,866.96,46.6,1.724,96.93,13.86,129.1,13.32
90.07,2.24,847.32,5.04,1.959,143.8,11.85,162.38,26.13
93.1,1.76,872.41,5.05,0.546,193.95,9.19,25.71,58.54
134.58,10.0,883.75,23.38,0.537,111.44,12.2,123.24,41.68
108.97,4.99,874.46,13.39,2.747,195.87,6.06,154.77,32.25
120.17,8.83,894.34,48.19,1.031,148.51,12.89,62.48,34.02
127.2,5.24,874.12,45.68,2.036,139.11,11.98,15.94,29.94
118.01,9.29,882.44,21.13,2.024,81.75,0.03,31.19,35.19
69.81,1.61,880.75,23.26,2.693,54.75,7.32,18.31,11.05
99.97,1.85,872.07,19.69,2.381,177.05,3.97,177.44,31.3
63.15,9.35,878.15,3.34,2.698,133.97,1.29,75.34,28.79
107.23,9.52,889.45,15.7,2.019,109.23,12.69,104.67,23.09
131.43,3.7,850.39,7.45,1.466,170.85,0.12,153.74,53.91
96.02,4.07,864.25,6.46,1.29,93.14,10.95,74.3,35.14
89.64,4.96,853.77,28.7,1.244,166.46,14.82,129.82,23.14
57.87,4.63,882.34,6.29,1.368,95.83,7.23,15.34,31.17
131.78,2.55,846.67,6.49,0.457,187.74,5.57,96.18,67.89
63.24,9.07,879.68,24.8,1.385,86.53,9.09,19.3,23.95
58.29,3.13,877.95,22.95,1.277,66.32,12.07,49.66,12.17
74.69,7.29,891.76,8.18,0.159,153.2,3.6,58.67,51.59
60.24,1.42,831.16,1.72,0.917,70.24,3.76,143.52,26.97
91.41,1.16,870.32,10.86,2.419,192.15,9.11,134.82,31.54
96.29,6.81,874.34,12.94,1.871,146.61,14.1,149.42,25.62
80.01,3.92,889.58,40.31,2.589,80.78,4.48,12.35,12.07
59.08,6.83,887.09,45.9,1.759,77.37,5.65,198.78,5.46
63.93,1.66,858.75,21.19,2.74,188.2,14.9,10.88,14.62
85.76,9.54,859.23,21.14,2.558,139.22,2.64,165.15,23.71
59.84,7.69,824.22,36.06,0.36,183.53,1.15,148.05,46.46
110.86,8.86,892.87,31.91,3.128,62.08,8.85,118.35,5.63
71.56,2.06,831.68,10.43,0.096,188.44,0.36,87.77,55.6
79.17,3.75,871.6,6.72,1.93,125.61,2.71,151.43,29.21
86.53,4.19,877.64,22.72,2.546,148.61,9.33,147.97,21.06
88.33,5.74,847.5,28.89,1.095,102.8,9.89,27.44,28.56
55.13,3.53,827.95,8.23,1.935,54.17,7.66,158.53,6.84
63.97,1.36,826.06,15.72,1.191,193.49,5.76,15.71,40.92
124.02,4.19,882.8,16.34,0.241,199.16,8.64,100.11,58.93
55.1,3.14,853.41,14.17,0.077,101.5,9.65,129.02,32.22
95.65,4.35,817.66,23.85,0.349,191.3,12.05,164.34,47.65
94.16,2.61,870.95,33.17,0.36,71.0,11.89,92.62,29.35
81.65,3.21,831.26,26.21,1.974,68.98,9.97,47.37,13.27
89.51,6.57,884.49,11.27,1.706,56.33,13.41,98.13,15.5
117.45,4.37,836.31,6.49,1.485,105.65,12.57,50.04,30.25
122.3,3.98,827.02,41.36,2.23,53.11,2.0,105.75,21.77
75.83,5.71,817.21,24.75,0.103,106.17,14.35,92.5,29.62
80.8,7.9,853.48,4.51,0.904,66.45,13.38,156.1,21.09
74.4,4.29,848.31,14.02,2.499,158.23,4.81,48.02,31.48
93.39,6.21,873.86,40.5,2.916,174.17,0.3,40.0,29.93
109.66,9.69,849.49,37.96,1.431,151.61,9.06,94.84,34.24
73.26,5.6,839.22,43.98,0.307,76.08,6.58,10.1,29.81
81.46,9.17,832.24,30.7,2.566,163.86,11.24,45.87,17.19
129.43,8.1,833.64,22.01,2.838,83.67,7.87,70.74,18.0
58.89,1.34,888.87,22.19,1.353,162.72,1.15,97.53,37.93
91.86,4.75,824.03,10.91,0.817,132.95,3.67,53.89,47.76
111.92,7.22,893.99,33.06,0.189,101.84,13.24,112.13,35.17
67.04,9.88,837.79,29.88,1.912,57.94,0.57,175.68,15.06
58.79,5.02,817.51,9.01,2.916,173.26,11.05,108.75,10.87
66.06,1.65,831.14,44.45,2.185,190.65,4.38,57.37,26.47
128.51,5.97,814.97,19.37,1.049,148.22,6.79,12.4,49.68
55.74,1.96,877.15,3.91,2.075,194.5,7.97,27.33,31.71
70.07,7.71,853.57,17.4,2.671,189.79,3.75,112.24,27.31
57.5,5.47,838.64,43.69,1.549,75.16,9.78,136.74,7.48
63.85,7.46,866.27,45.97,2.632,158.34,10.4,9.93,9.05
104.61,8.8,863.6,25.28,1.285,99.14,1.28,37.11,38.21
74.33,6.59,889.89,47.88,1.148,120.57,5.61,63.82,27.28
100.54,6.43,891.71,43.95,1.886,69.33,11.17,63.95,19.95
102.22,7.74,867.86,41.52,1.514,196.09,10.82,191.68,28.08
